carrierCode;tailNum;planeModel;planeYear;
XE;N17108;EMB-145XR;2002;
XE;N17115;EMB-145XR;2002;
CO;N17122;757-224;1997;
CO;N17126;757-224;1998;
XE;N17138;EMB-145XR;2003;
CO;N17139;757-224;2000;
XE;N17146;EMB-145XR;2003;
YV;N17156;CL-600-2B19;1996;
XE;N17159;EMB-145XR;2004;
YV;N17175;CL-600-2B19;1997;
XE;N17185;EMB-145XR;2005;
XE;N17196;EMB-145XR;2005;
US;N171US;A321-211;2001;
CO;N17229;737-824;1999;
YV;N17231;CL-600-2B19;1998;
CO;N17233;737-824;1999;
CO;N17244;737-824;1999;
CO;N17245;737-824;1999;
YV;N17275;CL-600-2B19;1998;
US;N172US;A321-211;2001;
YV;N17337;CL-600-2B19;1999;
CO;N17344;737-3TO;1987;
CO;N17345;737-3TO;1987;
CO;N17356;737-3TO;1988;
YV;N17358;CL-600-2B19;;
FL;N173AT;737-76N;2004;
US;N173US;A321-211;2001;
FL;N174AT;737-76N;2004;
DL;N174DZ;767-332;1998;
US;N174US;A321-211;;
FL;N175AT;737-76N;2004;
US;N175AW;737-33A;1987;
DL;N175DN;767-332;1990;
CO;N17614;;;
CO;N17619;737-524;1994;
CO;N17620;737-524;1994;
CO;N17627;737-524;1995;
CO;N17640;737-524;1997;
CO;N17644;737-524;1997;
FL;N176AT;737-76N;2005;
US;N176UW;A321-211;2001;
CO;N17719;737-724;1999;
CO;N17730;737-724;1999;
US;N177US;A321-211;;
DL;N178DZ;767-332;2000;
B6;N178JB;ERJ 190-100 IGW;2005;
US;N178US;A321-211;2001;
XE;N17928;EMB-145EP;1996;
XE;N17984;EMB-145LR;2000;
NW;N1799U;DC-9-31;1969;
B6;N179JB;ERJ 190-100 IGW;2005;
US;N179UW;A321-211;2001;
US;N180US;A321-211;2001;
XE;N18101;EMB-145XR;2002;
XE;N18102;EMB-145XR;2002;
XE;N18114;EMB-145XR;2002;
CO;N18119;757-224;1997;
XE;N18120;EMB-145XR;2003;
UA;N181UA;747-422;1991;
US;N181UW;A321-211;;
CO;N18220;737-824;1998;
CO;N18223;737-824;1998;
CO;N18243;737-824;1999;
US;N182UW;A321-211;2001;
B6;N183JB;ERJ 190-100 IGW;2005;
US;N183UW;A321-211;2001;
FL;N184AT;737-76N;2005;
B6;N184JB;ERJ 190-100 IGW;2005;
US;N184US;A321-211;2002;
XE;N18556;EMB-145LR;2002;
XE;N18557;EMB-145LR;;
DL;N185DN;767-332;1995;
US;N185UW;A321-211;2002;
CO;N18611;737-524;1994;
US;N186US;A321-211;2002;
B6;N187JB;ERJ 190-100 IGW;2005;
US;N187US;A321-211;2002;
US;N188US;A321-211;2002;
XE;N18982;EMB-145LR;2000;
US;N189UW;A321-211;2001;
B6;N190JB;ERJ 190-100 IGW;2005;
US;N190UW;A321-211;2001;
CO;N19130;757-224;1998;
CO;N19136;757-224;1999;
CO;N19141;757-224;2000;
US;N191UW;A321-211;2001;
B6;N192JB;ERJ 190-100 IGW;2005;
US;N192UW;A321-211;2001;
B6;N193JB;ERJ 190-100 IGW;2005;
US;N193UW;;;
US;N194UW;;;
XE;N19554;EMB-145LR;2002;
US;N195UW;;;
CO;N19621;737-524;1994;
CO;N19623;737-524;1995;
CO;N19638;737-524;1997;
DL;N196DN;767-332;1997;
B6;N197JB;ERJ 190-100 IGW;2006;
UA;N197UA;747-422;1997;
B6;N198JB;ERJ 190-100 IGW;2006;
XE;N19966;EMB-145LR;1999;
AA;N200AA;;;
WN;N200WN;737-7H4;2005;
AA;N201AA;150;1959;
F9;N201FR;A320-214;;
WN;N201LV;737-7H4;2005;
US;N201UU;757-2B7;1995;
AA;N202AA;421C;1980;
F9;N202FR;A320-214;2008;
UA;N202UA;737-322;1990;
US;N202UW;757-2B7;1995;
WN;N202WN;737-7H4;2005;
B6;N203JB;ERJ 190-100 IGW;2006;
UA;N203UA;737-322;1990;
US;N203UW;757-23N;2000;
WN;N203WN;737-7H4;2005;
US;N204UW;757-23N;2000;
WN;N204WN;737-7H4;2005;
US;N205UW;757-23N;2000;
WN;N205WN;737-7H4;2005;
B6;N206JB;ERJ 190-100 IGW;2006;
WN;N206WN;737-7H4;2005;
WN;N207WN;737-7H4;2005;
AA;N208AA;DC-9-82(MD-82);1983;
WN;N208WN;737-7H4;2005;
WN;N209WN;737-7H4;2005;
UA;N210UA;777-222;2000;
WN;N210WN;737-7H4;2005;
CO;N21108;757-224;1994;
XE;N21129;EMB-145XR;2003;
XE;N21130;EMB-145XR;2003;
XE;N21144;EMB-145XR;2003;
XE;N21154;EMB-145XR;2003;
XE;N21197;EMB-145XR;2006;
UA;N211UA;777-222;2000;
WN;N211WN;737-7H4;2005;
UA;N212UA;777-222;2000;
WN;N212WN;737-7H4;2005;
WN;N213WN;737-7H4;2005;
AA;N214AA;DC-9-82(MD-82);1983;
UA;N214UA;777-222;2000;
WN;N214WN;737-7H4;2005;
XE;N21537;EMB-145LR;2001;
UA;N215UA;777-222;2000;
WN;N215WN;737-7H4;2005;
B6;N216JB;ERJ 190-100 IGW;2006;
OO;N216SW;EMB-120;1993;
WN;N216WR;737-7H4;2005;
CO;N21723;737-724;1999;
WN;N217JC;737-7H4;2005;
OO;N217SW;EMB-120ER;1993;
OO;N218SW;EMB-120ER;1994;
WN;N218WN;737-7H4;2005;
AA;N219AA;DC-9-82(MD-82);1983;
UA;N219UA;777-222;2001;
WN;N219WN;737-7H4;2005;
OO;N220SW;EMB-120ER;1994;
WN;N220WN;737-7H4;2005;
OO;N221SW;EMB-120ER;1994;
WN;N221WN;737-7H4;2005;
WN;N222WN;737-7H4;2005;
AA;N223AA;DC-9-82(MD-82);1983;
OO;N223SW;EMB-120ER;1995;
UA;N223UA;777-222;2001;
WN;N223WN;737-7H4;2005;
OO;N224SW;EMB-120ER;1995;
WN;N224WN;737-7H4;2005;
WN;N225WN;737-7H4;2005;
OO;N226SW;EMB-120ER;1995;
WN;N226WN;737-7H4;2005;
AA;N227AA;DC-9-82(MD-82);1983;
WN;N227WN;737-7H4;2005;
UA;N228UA;777-222;2002;
WN;N228WN;737-7H4;2005;
XE;N22971;EMB-145LR;1999;
B6;N229JB;ERJ 190-100 IGW;2006;
WN;N229WN;737-7H4;2006;
WN;N230WN;737-7H4;2006;
XE;N23139;EMB-145XR;2003;
B6;N231JB;ERJ 190-100 IGW;2006;
WN;N231WN;737-7H4;2006;
AA;N232AA;DC-9-82(MD-82);1983;
OO;N232SW;EMB-120ER;1995;
WN;N232WN;737-7H4;2006;
AA;N233AA;DC-9-82(MD-82);1983;
WN;N233LV;737-7H4;2006;
OO;N233SW;EMB-120ER;1995;
AA;N234AA;DC-9-82(MD-82);1983;
OO;N234SW;EMB-120ER;1996;
WN;N234WN;737-7H4;2006;
OO;N235SW;EMB-120ER;;
WN;N235WN;737-7H4;2006;
AA;N236AA;DC-9-82(MD-82);1984;
B6;N236JB;ERJ 190-100 IGW;2006;
OO;N236SW;EMB-120ER;1996;
WN;N236WN;737-7H4;2006;
CO;N23707;737-724;1998;
CO;N23708;737-724;1998;
CO;N23721;737-724;1999;
AA;N237AA;DC-9-82(MD-82);1984;
OO;N237SW;EMB-120ER;1996;
WN;N237WN;737-7H4;2006;
B6;N238JB;ERJ 190-100 IGW;;
WN;N238WN;737-7H4;2005;
WN;N239WN;737-7H4;2006;
FL;N240AT;737-76N;2005;
MQ;N240MQ;;;
WN;N240WN;737-7H4;2006;
XE;N24103;EMB-145XR;2002;
AA;N241AA;DC-9-82(MD-82);1984;
WN;N241WN;737-7H4;2006;
CO;N24202;737-824;2000;
CO;N24211;737-824;1998;
CO;N24212;737-824;1998;
CO;N24224;737-824;1998;
AA;N242AA;DC-9-82(MD-82);1984;
WN;N242WN;737-7H4;2006;
WN;N243WN;737-7H4;2006;
AA;N244AA;DC-9-82(MD-82);1984;
WN;N244WN;737-7H4;2006;
AA;N245AA;DC-9-82(MD-82);1984;
WN;N245WN;737-7H4;2006;
CO;N24633;737-524;1995;
AA;N246AA;DC-9-82(MD-82);1984;
US;N246AY;767-201;1987;
WN;N246LV;737-7H4;2006;
CO;N24702;737-724;1998;
CO;N24706;737-724;1998;
CO;N24715;737-724;1998;
CO;N24729;737-724;1999;
CO;N24736;737-724;1999;
B6;N247JB;ERJ 190-100 IGW;2006;
WN;N247WN;737-7H4;2006;
AA;N248AA;DC-9-82(MD-82);1984;
WN;N248WN;737-7H4;2006;
AA;N249AA;DC-9-82(MD-82);1984;
US;N249AU;767-201;1987;
B6;N249JB;ERJ 190-100 IGW;2006;
WN;N249WN;737-7H4;2006;
MQ;N250MQ;;;
WN;N250WN;737-7H4;2006;
XE;N25134;EMB-145XR;2003;
WN;N251WN;737-7H4;2006;
US;N252AU;767-2B7;1990;
WN;N252WN;737-7H4;2006;
AA;N253AA;;;
MQ;N253MQ;;;
WN;N253WN;737-7H4;2006;
WN;N254WN;737-7H4;2006;
AA;N255AA;DC-9-82(MD-82);1984;
WN;N255WN;737-7H4;2006;
US;N256AY;767-2B7;1993;
WN;N256WN;737-7H4;2006;
CO;N25705;737-724;1998;
WN;N257WN;737-7H4;2006;
AA;N258AA;DC-9-82(MD-82);1985;
B6;N258JB;ERJ 190-100 IGW;2006;
WN;N258WN;737-7H4;2006;
AA;N259AA;DC-9-82(MD-82);1985;
WN;N259WN;737-7H4;2006;
WN;N260WN;737-7H4;2006;
CO;N26123;757-224;1997;
XE;N26141;EMB-145XR;2003;
FL;N261AT;737-76N;2005;
WN;N261WN;737-7H4;2006;
CO;N26208;737-824;2000;
CO;N26210;737-824;1998;
CO;N26215;737-824;1998;
WN;N262WN;737-7H4;2006;
WN;N263WN;737-7H4;2007;
WN;N264LV;737-7H4;2007;
XE;N26545;EMB-145LR;2002;
XE;N26549;EMB-145LR;2002;
B6;N265JB;ERJ 190-100 IGW;2006;
WN;N265WN;737-7H4;2007;
AA;N266AA;DC-9-82(MD-82);1985;
B6;N266JB;ERJ 190-100 IGW;2007;
WN;N266WN;737-7H4;2007;
FL;N267AT;737-7BD;2005;
B6;N267JB;ERJ 190-100 IGW;2007;
WN;N267WN;737-7H4;2007;
WN;N268WN;737-7H4;2007;
WN;N269WN;737-7H4;2007;
WN;N270WN;737-705;1998;
OO;N270YV;EMB-120ER;1993;
XE;N27152;EMB-145XR;2003;
YV;N27172;CL-600-2B19;1997;
YV;N27185;CL-600-2B19;1997;
XE;N27190;EMB-145XR;2005;
YV;N27191;CL-600-2B19;1997;
AA;N271AA;DC-9-82(MD-82);1985;
WN;N271LV;;;
OO;N271YV;EMB-120ER;1993;
XE;N27200;EMB-145XR;2006;
CO;N27205;737-824;2000;
CO;N27213;737-824;1998;
CO;N27239;737-824;1999;
FL;N272AT;737-7BD;2005;
WN;N272WN;737-7H4;2007;
YV;N27314;CL-600-2B19;1999;
YV;N27318;CL-600-2B19;1999;
FL;N273AT;737-76N;2005;
B6;N273JB;ERJ 190-100 IGW;2007;
WN;N273WN;737-7H4;2007;
CO;N27421;;;
AA;N274AA;DC-9-82(MD-82);1984;
US;N274AY;A330-323;2000;
B6;N274JB;ERJ 190-100 IGW;2007;
WN;N274WN;737-7H4;2007;
WN;N275WN;737-7H4;2007;
FL;N276AT;737-76N;2005;
WN;N276WN;737-7H4;2007;
CO;N27722;737-724;1999;
CO;N27724;737-724;1999;
CO;N27733;737-724;1999;
CO;N27734;737-724;1999;
US;N277AY;A330-323;2001;
WN;N277WN;737-7H4;2007;
AA;N278AA;DC-9-82(MD-82);1985;
FL;N278AT;737-76N;2005;
WN;N278WN;737-7H4;2007;
XE;N27962;EMB-145;1999;
AA;N279AA;DC-9-82(MD-82);1985;
FL;N279AT;737-76N;2005;
B6;N279JB;ERJ 190-100 IGW;2007;
WN;N279WN;737-7H4;2007;
WN;N280WN;737-7H4;2007;
FL;N281AT;737-7BD;2006;
B6;N281JB;ERJ 190-100 IGW;2007;
WN;N281WN;737-7H4;2007;
WN;N282WN;737-7H4;2007;
FL;N283AT;737-7BD;2006;
B6;N283JB;ERJ 190-100 IGW;2007;
WN;N283WN;737-7H4;2007;
FL;N284AT;737-76N;2006;
B6;N284JB;ERJ 190-100 IGW;;
WN;N284WN;737-7H4;2007;
OO;N284YV;EMB-120ER;1994;
FL;N285AT;737-76N;2006;
WN;N285WN;737-7H4;2007;
WN;N286WN;737-7H4;2004;
AA;N287AA;DC-9-82(MD-82);1985;
FL;N287AT;737-76N;2006;
WN;N287WN;737-7H4;2007;
FL;N288AT;737-7BD;2006;
OO;N288SW;EMB-120ER;1996;
WN;N288WN;737-7H4;2007;
FL;N289AT;737-76N;2006;
B6;N289JB;ERJ 190-100 IGW;;
WN;N289WN;;;
AA;N290AA;DC-9-82(MD-82);1985;
FL;N290AT;737-7BD;2006;
OO;N290SW;EMB-120ER;1996;
WN;N290WN;737-7H4;2007;
CO;N29124;757-224;1998;
CO;N29129;757-224;1998;
FL;N291AT;737-76N;2006;
OO;N291SW;EMB-120ER;1996;
WN;N291WN;737-7H4;2007;
AA;N292AA;DC-9-82(MD-82);1985;
FL;N292AT;737-7BD;2006;
B6;N292JB;;;
OO;N292SW;EMB-120ER;1996;
OO;N292UX;EMB-120ER;1994;
WN;N292WN;737-7H4;2007;
AA;N293AA;DC-9-82(MD-82);1985;
WN;N293WN;;;
B6;N294JB;;;
OO;N294SW;EMB-120ER;1996;
WN;N294WN;737-7H4;2007;
FL;N295AT;737-76N;2006;
OO;N295SW;EMB-120ER;1996;
OO;N295UX;EMB-120ER;1995;
WN;N295WN;737-7H4;2007;
FL;N296AT;737-7BD;2006;
OO;N296SW;EMB-120ER;1996;
WN;N296WN;737-7H4;2007;
CO;N29717;737-724;1999;
OO;N297SW;EMB-120ER;1996;
WN;N297WN;737-7H4;2007;
AA;N298AA;DC-9-82(MD-82);1985;
OO;N298SW;EMB-120ER;1996;
WN;N298WN;737-7H4;;
XE;N29906;EMB-145LR;2001;
XE;N29917;EMB-145LR;2001;
FL;N299AT;737-76N;2006;
OO;N299SW;EMB-120ER;1997;
WN;N299WN;737-7H4;;
FL;N300AT;737-7BD;2006;
WN;N300SW;737-3H4;1984;
DL;N301DQ;;;
NW;N301US;A320-211;1989;
OO;N301YV;EMB-120ER;1995;
AS;N302AS;737-990;2003;
US;N302AW;737-3G7;1988;
DL;N302DQ;;;
NW;N302NB;A319-114;1999;
AS;N303AS;737-990;2001;
US;N303AW;737-3G7;1988;
DL;N303DQ;;;
WN;N303SW;737-3H4;1985;
CO;N30401;737-924;2001;
DL;N304DQ;;;
WN;N304SW;737-3H4;1985;
AS;N305AS;737-990;2001;
US;N305AW;737-3G7;1988;
WN;N305SW;737-3H4;1985;
AS;N306AS;737-990;2001;
AS;N307AS;737-990;2001;
FL;N307AT;737-7BD;2006;
US;N307AW;737-3G7;1990;
WN;N307SW;737-3H4;1985;
FL;N308AT;737-7BD;2006;
WN;N308SA;737-3Y0;1986;
OO;N308SW;EMB-120ER;1997;
AS;N309AS;737-990;2001;
FL;N309AT;737-7BD;2006;
WN;N309SW;737-3H4;1985;
NW;N309US;A320-211;1990;
NW;N310NW;A320-211;1990;
WN;N310SW;737-3H4;1985;
XE;N31131;EMB-145XR;2003;
FL;N311AT;737-7BD;2006;
WN;N311SW;737-3H4;1986;
UA;N311UA;737-322;1987;
NW;N311US;A320-211;1990;
FL;N312AT;737-7BD;2006;
WN;N312SW;737-3H4;1986;
NW;N312US;A320-211;1990;
FL;N313AT;737-7BD;2007;
US;N313AW;737-3S3;1987;
MQ;N313MQ;;;
WN;N313SW;737-3H4;1986;
NW;N313US;A320-211;1990;
CO;N31412;737-924;2002;
US;N314AW;737-3S3;1987;
NW;N314NB;A319-114;2000;
WN;N314SW;737-3H4;1986;
UA;N314UA;737-322;1987;
NW;N314US;A320-211;1991;
AS;N315AS;737-990;2002;
FL;N315AT;737-7BD;2007;
US;N315AW;737-3S3;1987;
NW;N315NB;A319-114;2000;
WN;N315SW;737-3H4;1986;
UA;N315UA;737-322;1987;
NW;N315US;A320-211;1991;
FL;N316AT;737-7BD;2007;
NW;N316NB;A319-114;2000;
NW;N316US;A320-211;1991;
AS;N317AS;737-990;2003;
EV;N317CA;CL-600-2C10;2002;
MQ;N317MQ;;;
NW;N317NB;A319-114;2000;
NW;N317US;A320-211;1991;
AS;N318AS;737-990;2003;
FL;N318AT;737-7BD;2007;
NW;N318NB;A319-114;2000;
WN;N318SW;737-3H4;1986;
UA;N318UA;737-322;1988;
NW;N318US;A320-211;1991;
AA;N319AA;767-223;1985;
NW;N319NB;A319-114;2000;
NW;N319US;A320-211;1991;
AA;N320AA;767-223;1985;
AS;N320AS;737-990;2003;
NW;N320NB;A319-114;2000;
NW;N320US;A320-211;1991;
AA;N321AA;767-223;1986;
NW;N321NB;A319-114;2001;
NW;N321US;A320-211;1992;
AA;N322AA;767-223;1986;
US;N322AW;737-3G7;1991;
NW;N322NB;A319-114;2001;
NW;N322US;A320-211;1992;
AA;N323AA;767-223;;
AS;N323AS;737-990;2004;
MQ;N323MQ;;;
NW;N323NB;A319-114;2001;
CO;N32404;737-924;2001;
AA;N324AA;767-223;1986;
MQ;N324MQ;;;
NW;N324NB;A319-114;2001;
NW;N324US;A320-211;1992;
AA;N325AA;767-223;1986;
NW;N325NB;A319-114;2001;
WN;N325SW;737-3H4;1987;
UA;N325UA;737-322;1988;
NW;N325US;A320-211;1992;
CO;N32626;737-524;1995;
FL;N326AT;737-7BD;2007;
NW;N326NB;A319-114;2001;
WN;N326SW;737-3H4;1987;
UA;N326UA;737-322;1988;
NW;N326US;A320-211;1992;
AA;N327AA;767-223;1986;
NW;N327NB;A319-114;2001;
NW;N327NW;A320-211;1992;
WN;N327SW;737-3H4;1987;
UA;N327UA;737-322;1988;
AA;N328AA;767-223;1986;
FL;N328AT;737-7BD;;
NW;N328NW;A320-211;1992;
WN;N328SW;737-3H4;1988;
UA;N328UA;737-322;1988;
AA;N329AA;767-223;1987;
FL;N329AT;737-7BD;2007;
NW;N329NB;A319-114;2001;
NW;N329NW;A320-211;1992;
WN;N329SW;737-3H4;1988;
UA;N329UA;737-322;1988;
FL;N330AT;737-7BD;2007;
WN;N330SW;737-3H4;1988;
UA;N330UA;737-322;1988;
CO;N33103;757-224;1994;
CO;N33132;757-224;1998;
XE;N33182;EMB-145XR;2005;
EV;N331CA;CL-600-2C10;2002;
NW;N331NW;A320-211;1992;
WN;N331SW;737-3H4;1988;
UA;N331UA;737-322;1988;
CO;N33203;737-824;2000;
NW;N3324L;DC-9-32;1967;
CO;N33262;737-824;2001;
CO;N33264;737-824;2001;
CO;N33266;737-824;2001;
CO;N33284;737-824;2004;
CO;N33286;737-824;2004;
CO;N33289;737-824;2004;
CO;N33292;737-824;;
CO;N33294;737-824;2005;
AA;N332AA;767-223;1987;
US;N332AW;737-3B7;1987;
NW;N332NB;A319-114;2001;
NW;N332NW;A320-211;1992;
WN;N332SW;737-3H4;1988;
NW;N333NB;A319-114;2001;
NW;N333NW;A320-211;1992;
WN;N333SW;737-3H4;1988;
UA;N333UA;737-322;1988;
US;N334AW;737-3Y0;1987;
NW;N334NB;A319-114;2002;
NW;N334NW;A320-212;1992;
WN;N334SW;737-3H4;1988;
UA;N334UA;737-322;1988;
AA;N335AA;767-223;1987;
NW;N335NB;A319-114;2002;
NW;N335NW;A320-212;1992;
WN;N335SW;737-3H4;1988;
UA;N335UA;737-322;1988;
AA;N336AA;767-223;1987;
FL;N336AT;737-7BD;2008;
NW;N336NB;A319-114;2002;
WN;N336SW;737-3H4;1988;
CO;N33714;737-724;1998;
FL;N337AT;737-7BD;2008;
NW;N337NB;A319-114;2002;
NW;N337NW;A320-212;1992;
WN;N337SW;737-3H4;1988;
UA;N337UA;737-322;1988;
AA;N338AA;767-223;1987;
FL;N338AT;737-7BD;2008;
NW;N338NB;A319-114;2002;
NW;N338NW;A320-212;1992;
WN;N338SW;737-3H4;1988;
UA;N338UA;737-322;1988;
AA;N339AA;767-223;1988;
NW;N339NB;A319-114;2002;
NW;N339NW;A320-212;1992;
WN;N339SW;737-3H4;1988;
UA;N339UA;737-322;1988;
OO;N340CA;CL-600-2C10;2002;
WN;N340LV;737-3K2;1987;
NW;N340NB;A319-114;2002;
UA;N340UA;737-322;1988;
XE;N34110;EMB-145XR;2002;
XE;N34111;EMB-145XR;2002;
CO;N34131;757-224;1998;
CO;N34137;757-224;1999;
NW;N341NB;A319-114;2002;
NW;N341NW;A320-212;1992;
CO;N34282;737-824;2004;
AA;N342AA;;;
NW;N342NB;A319-114;2002;
NW;N342NW;A320-212;1993;
WN;N342SW;737-3H4;1989;
AA;N343AA;S-76A;1979;
NW;N343NB;A319-114;2002;
NW;N343NW;A320-212;1993;
WN;N343SW;737-3H4;1989;
FL;N344AT;737-7BD;2008;
NW;N344NB;A319-114;2002;
NW;N344NW;A320-212;1993;
WN;N344SW;737-3H4;1989;
AA;N345AA;G-IV;1992;
NW;N345NB;A319-114;;
NW;N345NW;A320-212;1993;
WN;N345SA;737-3K2;1987;
NW;N346NB;A319-114;2002;
WN;N346SW;737-3H4;1989;
UA;N346UA;737-322;1988;
NW;N347NB;A319-114;2002;
NW;N347NW;A320-212;1993;
WN;N347SW;737-3H4;1989;
UA;N347UA;737-322;1988;
AA;N348AA;S-76A;;
NW;N348NB;A319-114;2002;
NW;N348NW;A320-212;1993;
UA;N348UA;737-322;1988;
NW;N349NB;A319-114;2002;
NW;N349NW;A320-212;1996;
WN;N349SW;737-3H4;1989;
OH;N34CA;;;
AA;N350AA;PA-31-350;1980;
NW;N350NA;A320-212;1993;
WN;N350SW;737-3H4;1989;
UA;N350UA;737-322;1989;
NW;N351NW;A320-212;1997;
WN;N351SW;737-3H4;1989;
UA;N351UA;737-322;1989;
CO;N35204;737-824;2000;
CO;N35260;737-824;2001;
CO;N35271;737-824;2001;
AA;N352AA;767-323;1988;
NW;N352NW;A320-212;1998;
WN;N352SW;737-3H4;1990;
AA;N353AA;767-323;1988;
NW;N353NB;A319-114;2002;
NW;N353NW;A320-212;1998;
WN;N353SW;737-3H4;1990;
CO;N35407;737-924;2001;
AA;N354AA;767-323;1988;
EV;N354CA;CL-600-2C10;2002;
NW;N354NW;A320-212;1998;
WN;N354SW;737-3H4;1991;
AA;N355AA;767-323;1988;
EV;N355CA;CL-600-2C10;2002;
NW;N355NB;A319-114;2002;
NW;N355NW;A320-212;1998;
AA;N356AA;;;
NW;N356NW;A320-212;1998;
WN;N356SW;737-3H4;1991;
AA;N357AA;767-323;1988;
NW;N357NB;A319-114;2002;
NW;N357NW;A320-212;1998;
WN;N357SW;737-3H4;1992;
AA;N358AA;767-323;1988;
NW;N358NB;A319-114;2003;
NW;N358NW;A320-212;1998;
WN;N358SW;737-3H4;1992;
AA;N359AA;767-323;1988;
NW;N359NB;A319-114;2003;
NW;N359NW;A320-212;1998;
AA;N360AA;767-323;1988;
NW;N360NB;A319-114;2003;
NW;N360NW;A320-212;1998;
WN;N360SW;737-3H4;1992;
NW;N361NB;A319-114;2003;
NW;N361NW;A320-212;1998;
WN;N361SW;737-3H4;1992;
CO;N36207;737-824;2000;
CO;N36247;737-824;1999;
CO;N36272;737-824;2001;
CO;N36280;737-824;2003;
AA;N362AA;767-323;1988;
NW;N362NW;A320-212;1998;
WN;N362SW;737-3H4;1992;
AA;N363AA;767-323;1988;
NW;N363NB;A319-114;2003;
NW;N363NW;A320-212;1998;
WN;N363SW;737-3H4;1993;
NW;N364NB;A319-114;2003;
NW;N364NW;A320-212;1999;
NW;N365NB;A319-114;2003;
NW;N365NW;A320-212;1999;
WN;N365SW;737-3H4;1993;
UA;N365UA;737-322;1989;
NW;N366NB;A319-114;2003;
NW;N366NW;A320-212;1999;
UA;N366UA;737-322;1989;
AA;N367AA;;;
OO;N367CA;CL-600-2C10;2002;
NW;N367NW;A320-212;1999;
WN;N367SW;737-3H4;1993;
UA;N367UA;737-322;1989;
OO;N368CA;CL-600-2C10;2003;
NW;N368NB;A319-114;2003;
NW;N368NW;A320-212;1999;
WN;N368SW;737-3H4;1993;
XE;N36915;EMB-145LR;2001;
AA;N369AA;767-323;1992;
OH;N369CA;CL-600-2C10;2003;
NW;N369NB;A319-114;2003;
NW;N369NW;A320-212;1999;
WN;N369SW;737-3H4;1993;
UA;N369UA;737-322;1989;
AA;N370AA;767-323;1992;
NW;N370NB;A319-114;2003;
NW;N370NW;A320-212;1999;
WN;N370SW;737-3H4;1993;
UA;N370UA;737-322;1989;
YV;N37178;CL-600-2B19;1997;
AA;N371AA;767-323;1992;
OH;N371CA;CL-600-2C10;2003;
DL;N371DA;737-832;1998;
NW;N371NB;A319-114;2003;
NW;N371NW;A320-212;2001;
WN;N371SW;737-3H4;1993;
UA;N371UA;737-322;1989;
YV;N37208;CL-600-2B19;1997;
CO;N37252;737-824;2000;
CO;N37253;737-824;2000;
CO;N37255;737-824;2000;
CO;N37263;737-824;2001;
CO;N37267;737-824;2001;
CO;N37273;737-824;2001;
CO;N37274;737-824;2002;
CO;N37277;737-824;2002;
CO;N37281;737-824;2003;
CO;N37287;737-824;2004;
CO;N37290;737-824;2004;
CO;N37293;737-824;2005;
CO;N37298;737-824;2005;
AA;N372AA;767-323;1992;
DL;N372DA;737-832;1998;
NW;N372NW;A320-212;2001;
WN;N372SW;737-3H4;1993;
UA;N372UA;737-322;1989;
DL;N3730B;737-832;2000;
DL;N3731T;737-832;2000;
DL;N3732J;737-832;2000;
DL;N3733Z;737-832;2000;
YV;N37342;CL-600-2B19;1999;
DL;N3734B;737-832;2000;
DL;N3735D;737-832;2000;
DL;N3736C;737-832;2000;
DL;N3737C;737-832;2000;
DL;N3738B;737-832;2000;
DL;N3739P;;;
DL;N373DA;737-832;1998;
NW;N373NW;A320-212;2001;
WN;N373SW;737-3H4;1993;
UA;N373UA;737-322;1989;
CO;N37408;737-924;2001;
CO;N37409;737-924;2001;
DL;N3740C;737-832;2000;
CO;N37413;737-924ER;;
CO;N37419;737-924ER;2008;
DL;N3741S;737-832;2001;
CO;N37420;737-924ER;;
CO;N37422;;;
CO;N37427;;;
DL;N3742C;737-832;2001;
DL;N3743H;737-832;2001;
DL;N3744D;182A;1957;
DL;N3745B;737-832;2001;
DL;N3746H;737-832;2001;
DL;N3747D;737-832;2001;
DL;N3748Y;737-832;2001;
DL;N3749D;737-832;2001;
AA;N374AA;767-323;1992;
OH;N374CA;CL-600-2C10;;
DL;N374DA;737-832;1998;
NW;N374NW;A320-212;2001;
WN;N374SW;737-3H4;1993;
UA;N374UA;737-322;1989;
DL;N3750D;737-832;2001;
DL;N3751B;737-832;2001;
DL;N3752;737-832;2001;
DL;N3753;737-832;2001;
DL;N3754A;737-832;2001;
DL;N3755D;737-832;2001;
DL;N3756;737-832;2001;
DL;N3757D;737-832;2001;
DL;N3758Y;737-832;2001;
DL;N3759;737-832;2001;
AA;N375AA;690A;1974;
DL;N375DA;737-832;1998;
NW;N375NC;A320-212;2002;
WN;N375SW;737-3H4;1993;
UA;N375UA;737-322;1989;
DL;N3760C;737-832;2001;
CO;N37615;737-524;1994;
DL;N3761R;737-832;2001;
DL;N3762Y;737-832;2001;
DL;N3763D;737-832;2001;
DL;N3764D;737-832;2001;
DL;N3765;737-832;2001;
DL;N3767;737-832;2001;
DL;N3768;737-832;2002;
DL;N3769L;737-832;2002;
AA;N376AA;PA-32RT-300;1978;
EV;N376CA;CL-600-2C10;2003;
DL;N376DA;737-832;1999;
NW;N376NW;A320-212;2002;
WN;N376SW;737-3H4;1994;
UA;N376UA;737-322;1990;
DL;N37700;737-832;2002;
DL;N3771K;737-832;2002;
AA;N377AA;FALCON XP;;
DL;N377DA;737-832;1999;
NW;N377NW;A320-211;2003;
UA;N377UA;737-322;1990;
AA;N378AA;172E;1963;
OH;N378CA;CL-600-2C10;2003;
