idVuelo;idIncidente;crsDepTime;crsArrTime;arrTime;cancelled;diverted;carrierDelay;weatherDelay;nasDelay;securityDelay;lateAircraftDelay;divArrDelay;div1airport;div2airport
311;157;1225;1714;2257;0;0;0;0;343;0;0;;;
312;158;1055;1432;1436;0;0;0;0;0;0;0;;;
318;159;600;817;826;0;0;0;0;0;0;0;;;
319;160;730;1053;1058;0;0;0;0;0;0;0;;;
321;161;1155;1329;1342;0;0;0;0;0;0;0;;;
322;162;2300;628;632;0;0;0;0;0;0;0;;;
323;163;600;1249;1300;0;0;0;0;0;0;0;;;
325;164;1940;2157;2208;0;0;0;0;0;0;0;;;
326;165;657;834;839;0;0;0;0;0;0;0;;;
327;166;1230;1447;1457;0;0;0;0;0;0;0;;;
328;167;1520;1638;1659;0;0;9;0;12;0;0;;;
329;168;850;1045;1051;0;0;0;0;0;0;0;;;
331;169;1158;1355;1412;0;0;0;0;17;0;0;;;
332;170;1444;1632;1705;0;0;6;0;27;0;0;;;
334;171;900;1018;1027;0;0;0;0;0;0;0;;;
339;172;2110;2219;2226;0;0;0;0;0;0;0;;;
342;173;1020;1122;1145;0;0;17;0;6;0;0;;;
343;174;1315;1425;1445;0;0;0;0;20;0;0;;;
344;175;1905;2027;2045;0;0;12;0;6;0;0;;;
353;176;1229;1429;1433;0;0;0;0;0;0;0;;;
357;177;1115;1240;1241;0;0;0;0;0;0;0;;;
358;178;1000;1305;1306;0;0;0;0;0;0;0;;;
359;179;1337;1611;2106;0;0;0;0;295;0;0;;;
361;180;1700;1848;2328;0;0;18;0;0;0;262;;;
364;181;1750;1955;2011;0;0;0;0;16;0;0;;;
365;182;615;750;753;0;0;0;0;0;0;0;;;
368;183;830;1013;1049;0;0;0;0;36;0;0;;;
369;184;1130;1315;1322;0;0;0;0;0;0;0;;;
371;185;1845;1945;2002;0;0;17;0;0;0;0;;;
379;186;1740;1925;1942;0;0;0;0;17;0;0;;;
381;187;1740;1920;1957;0;0;37;0;0;0;0;;;
383;188;905;1054;1055;0;0;0;0;0;0;0;;;
384;189;1520;1724;1818;0;0;0;42;12;0;0;;;
385;190;1600;1817;2016;0;0;0;91;28;0;0;;;
388;191;1920;2049;2152;0;0;63;0;0;0;0;;;
389;192;1455;1628;1636;0;0;0;0;0;0;0;;;
393;193;1105;1429;1430;0;0;0;0;0;0;0;;;
399;194;825;1105;1113;0;0;0;0;0;0;0;;;
400;195;830;1047;1107;0;0;20;0;0;0;0;;;
401;196;1147;1926;1934;0;0;0;0;0;0;0;;;
402;197;1525;1818;1904;0;0;11;0;0;0;35;;;
